Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
3.821400e+09, 9.994400e-01, 2.444238e+00, 3.979652e-10, 1.817652e+01, 1.569924e+00
3.825200e+09, 9.994311e-01, 2.434736e+00, 3.978588e-10, 1.844592e+01, 1.569920e+00
3.829000e+09, 9.994224e-01, 2.425237e+00, 3.977550e-10, 1.871621e+01, 1.569916e+00
3.832800e+09, 9.994141e-01, 2.415740e+00, 3.976539e-10, 1.898738e+01, 1.569913e+00
3.836600e+09, 9.994062e-01, 2.406246e+00, 3.975555e-10, 1.925946e+01, 1.569911e+00
3.840400e+09, 9.993986e-01, 2.396754e+00, 3.974598e-10, 1.953247e+01, 1.569909e+00
3.844200e+09, 9.993914e-01, 2.387264e+00, 3.973669e-10, 1.980643e+01, 1.569907e+00
3.848000e+09, 9.993847e-01, 2.377776e+00, 3.972767e-10, 2.008136e+01, 1.569906e+00
3.851800e+09, 9.993784e-01, 2.368291e+00, 3.971894e-10, 2.035727e+01, 1.569906e+00
3.855600e+09, 9.993725e-01, 2.358807e+00, 3.971049e-10, 2.063419e+01, 1.569906e+00
3.859400e+09, 9.993670e-01, 2.349326e+00, 3.970233e-10, 2.091214e+01, 1.569907e+00
3.863200e+09, 9.993620e-01, 2.339847e+00, 3.969446e-10, 2.119114e+01, 1.569908e+00
3.867000e+09, 9.993575e-01, 2.330369e+00, 3.968687e-10, 2.147120e+01, 1.569910e+00
3.870800e+09, 9.993535e-01, 2.320894e+00, 3.967959e-10, 2.175235e+01, 1.569912e+00
3.874600e+09, 9.993500e-01, 2.311420e+00, 3.967259e-10, 2.203461e+01, 1.569915e+00
3.878400e+09, 9.993469e-01, 2.301947e+00, 3.966590e-10, 2.231800e+01, 1.569919e+00
3.882200e+09, 9.993444e-01, 2.292477e+00, 3.965950e-10, 2.260254e+01, 1.569923e+00
3.886000e+09, 9.993423e-01, 2.283008e+00, 3.965341e-10, 2.288826e+01, 1.569927e+00
3.889800e+09, 9.993408e-01, 2.273540e+00, 3.964761e-10, 2.317517e+01, 1.569932e+00
3.893600e+09, 9.993398e-01, 2.264074e+00, 3.964212e-10, 2.346331e+01, 1.569938e+00
3.897400e+09, 9.993394e-01, 2.254609e+00, 3.963693e-10, 2.375268e+01, 1.569944e+00
3.901200e+09, 9.993394e-01, 2.245145e+00, 3.963204e-10, 2.404333e+01, 1.569950e+00
3.905000e+09, 9.993400e-01, 2.235682e+00, 3.962746e-10, 2.433526e+01, 1.569957e+00
3.908800e+09, 9.993411e-01, 2.226221e+00, 3.962318e-10, 2.462851e+01, 1.569965e+00
3.912600e+09, 9.993428e-01, 2.216760e+00, 3.961920e-10, 2.492309e+01, 1.569973e+00
3.916400e+09, 9.993449e-01, 2.207301e+00, 3.961553e-10, 2.521904e+01, 1.569981e+00
3.920200e+09, 9.993476e-01, 2.197842e+00, 3.961216e-10, 2.551637e+01, 1.569990e+00
3.924000e+09, 9.993508e-01, 2.188384e+00, 3.960909e-10, 2.581512e+01, 1.570000e+00
3.927800e+09, 9.993545e-01, 2.178927e+00, 3.960632e-10, 2.611530e+01, 1.570010e+00
3.931600e+09, 9.993587e-01, 2.169471e+00, 3.960384e-10, 2.641696e+01, 1.570020e+00
3.935400e+09, 9.993634e-01, 2.160015e+00, 3.960167e-10, 2.672010e+01, 1.570030e+00
3.939200e+09, 9.993686e-01, 2.150560e+00, 3.959979e-10, 2.702476e+01, 1.570041e+00
3.943000e+09, 9.993743e-01, 2.141105e+00, 3.959820e-10, 2.733097e+01, 1.570053e+00
3.946800e+09, 9.993804e-01, 2.131650e+00, 3.959690e-10, 2.763876e+01, 1.570064e+00
3.950600e+09, 9.993870e-01, 2.122196e+00, 3.959588e-10, 2.794814e+01, 1.570076e+00
3.954400e+09, 9.993940e-01, 2.112742e+00, 3.959515e-10, 2.825916e+01, 1.570089e+00
3.958200e+09, 9.994014e-01, 2.103288e+00, 3.959471e-10, 2.857184e+01, 1.570101e+00
3.962000e+09, 9.994093e-01, 2.093835e+00, 3.959453e-10, 2.888621e+01, 1.570114e+00
3.965800e+09, 9.994175e-01, 2.084381e+00, 3.959464e-10, 2.920229e+01, 1.570127e+00
3.969600e+09, 9.994261e-01, 2.074927e+00, 3.959501e-10, 2.952013e+01, 1.570141e+00
3.973400e+09, 9.994350e-01, 2.065473e+00, 3.959565e-10, 2.983976e+01, 1.570154e+00
3.977200e+09, 9.994443e-01, 2.056020e+00, 3.959654e-10, 3.016119e+01, 1.570168e+00
3.981000e+09, 9.994539e-01, 2.046565e+00, 3.959770e-10, 3.048447e+01, 1.570182e+00
3.984800e+09, 9.994638e-01, 2.037111e+00, 3.959911e-10, 3.080963e+01, 1.570196e+00
3.988600e+09, 9.994740e-01, 2.027656e+00, 3.960076e-10, 3.113670e+01, 1.570210e+00
3.992400e+09, 9.994844e-01, 2.018201e+00, 3.960266e-10, 3.146572e+01, 1.570224e+00
3.996200e+09, 9.994950e-01, 2.008746e+00, 3.960479e-10, 3.179671e+01, 1.570239e+00
4.000000e+09, 9.995059e-01, 1.999290e+00, 3.960479e-10, 3.212972e+01, 1.570253e+00
